Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000]
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.3823967776817,60.6207349362112,61.3139355478846,61.5375775644664,62.3013387886012,62.6753419067361,62.7332983407147,64.3201838130775,65.9663871071853,66.3230103898269,66.8897935927856
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.7219393742778,31.7219393742778,31.7219393742778,31.7219393742778,31.7219393742778,31.7219393742778,31.7219393742778,36.5849561084994,46.4524522116259,48.0557613063989,31.6737134640742
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.8934857823846,68.8934857823846,69.474320161894,68.7555267573486,69.0814914221874,69.4711007725418,70.3185402780098,70.875989557536,71.731608606825,72.5653380909717,72.9726161870973
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.9295901956523,11.6628467771478,11.9554796823554,14.7378305975548,14.7503829238857,18.3536232088016,18.8815581985576,20.4184847136523,23.7920110731715,24.7723234408463,27.9238358274728
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.6628447829792,38.6628447829792,38.6628447829792,42.0316009023693,42.4516854409896,45.5808167533469,43.6738774610123,61.7331584812517,66.3670390913668,70.0644401151253,73.3358231449372
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.1107712759495,11.8089388414903,13.604898109144,15.4838341863381,19.0300677287991,21.9132666484727,21.4091568021917,22.3751576582499,17.1101308818626,25.9468697047586,25.8915531830568
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.811966646377,50.071606307047,48.0105999918797,50.3724191415802,49.9936767467462,53.8341357376195,54.9013521677588,59.2790610436941,56.8201628313727,58.9714072771792,57.8403779987589
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.1563516571364,50.4926909671768,50.245751141924,50.1905870956561,50.47383677956,51.6349334441685,52.2148104101714,52.1328260132125,53.3210032746316,53.5888954875594,53.4040559963975
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.6629552795368,31.6629552795368,31.6629552795368,31.6629552795368,31.6629552795368,25.8294302748564,22.3744959300532,19.7815196349514,17.2187075321712,14.4789771712905,15.4715333768077
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.0048124779077,50.0048124779077,50.0048124779077,50.0048124779077,32.8865460172435,34.1828122827824,36.7181926907589,37.300332117746,36.0803731254174,34.2523463859637,32.1335144547325
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3829440411085,40.3829440411085,40.3829440411085,40.3829440411085,40.3829440411085,40.3829440411085,40.3829440411085,40.3829440411085,40.3829440411085,40.3829440411085,42.5362791411235
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.0793494102756,48.641753941015,49.3502915454546,50.5923508207946,52.2661061872226,53.6695434816769,55.2413933817246,56.3633447399517,59.6427773332447,60.5316678598177,60.8530272181044
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.1958685863721,54.1172539596023,53.1200385677375,50.5063984040605,48.3331048074373,50.4907482578383,48.8572536808536,49.0941080159197,53.95737528689,53.6707342655268,47.9483285411158
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.3994676511928,41.3994676511928,41.3994676511928,36.9876421159952,35.6633201151588,36.6822648889653,38.5222757712278,37.1927185808612,41.8800384381523,43.3766746110374,47.7928914786779
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.9301807702492,27.059513452126,28.6308163143394,28.1200867846692,28.7949813055446,34.1361512700597,38.3290577832483,39.414934124981,41.3486961420871,42.5428467361817,43.2269094413679
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.223603021077,39.0295120286365,36.2677394350801,27.8214825616128,26.8112524048276,27.03707450258,26.3446833497489,23.871281732964,21.813910453489,24.2401064876828,26.3777787601232
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.6151362245391,37.6151362245391,37.6151362245391,37.6151362245391,37.6151362245391,37.6151362245391,37.6151362245391,32.7515485836711,36.0214123511601,38.4443623236472,36.1860751376683
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.9906489776352,37.9906489776352,37.9906489776352,37.9906489776352,37.9906489776352,38.3587598357343,46.3502552640929,43.7244328394495,50.5869475045404,51.3436863702626,51.2344852631833
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.8062196984092,45.8062196984092,45.8062196984092,45.3563068560145,45.3563068560145,48.8132938723213,50.8979506891478,51.9047162131347,53.8995395035066,53.3241445090256,54.2934966833457
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.5242491903701,56.9727386736748,59.8009795341648,58.7140995930566,59.5096739176962,60.2602211655728,60.2829119139738,59.0439161422119,61.2384267046564,62.2307189907938,61.1930448205387
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.2710885381958,62.9069286965489,63.1303872374989,61.6897904521516,62.715458932453,64.2632480295324,65.2080725846196,64.9880403791292,66.9259041940236,68.0973001469883,67.2414280815939
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.5685171783856,57.8874481346883,57.9068105929655,58.8178789741875,59.8579842605828,58.327713942069,60.7575897774789,61.5021115193254,64.3402936427569,65.5450502111012,64.3148738149006
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,Ukraine,UKR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.6571089483496,36.6571089483496,36.6571089483496,36.6571089483496,36.6571089483496,36.6571089483496,36.6571089483496,36.8622314399404,37.7084710189192,38.882838352321,37.8758754816129
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.8527717806439,66.8958998283012,65.4533755536505,66.3451002399629,65.6384962236042,67.2925727013164,68.0276831519231,69.0267779273407,70.5549391649496,70.57081310028,69.4304765191137
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.3693025264031,13.624016967559,13.9417954057779,13.4464367055016,14.0801003864542,40.4696883589397,41.8139196198907,41.4763154258084,41.6641864619823,43.3767187879946,43.9226657517001
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.5811471765229,7.5811471765229,4.64283401428972,4.64283401428972,5.90294381505732,8.07276879444376,1.84378930154559,2.01360550119053,5.11903691080571,7.70330249003235,7.61096616294018
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.5257376531975,37.1270654399871,35.4186933640842,36.2182711682484,36.6107570833135,34.0158652054543,34.1942090205849,35.6359993612149,37.2549079763557,37.6018815729108,38.8075177692686
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.9978053133625,41.9978053133625,41.9978053133625,41.9978053133625,41.9978053133625,41.9978053133625,41.9978053133625,41.9978053133625,41.9978053133625,41.9978053133625,41.9978053133625
Medium and high-tech manufacturing value added (% manufacturing value added),NV.MNF.TECH.ZS.UN,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.7768244551761,29.1702547996555,29.1702547996555,29.1702547996555,29.1702547996555,29.1702547996555,29.1702547996555,29.1702547996555,29.1702547996555,29.1702547996555,29.1702547996555
